path,metadata,hasmetadata,version,isuserpro,isuserpublisher,isuserstaff,haspaywall,israted,isofficial,isoriginal,isdraft,hascustomaudio,hascustomvideo,ncomments,nfavorites,nviews,nratings,rating,license,licenseurl,genres,groups,tags,songname,title,subtitle,artistname,composername,publisher,complexity,ntracks,tracks,songlength,songlengthseconds,songlengthbars,songlengthbeats,nnotes,notesperbar,nannotations,hasannotations,nlyrics,haslyrics,ntokens,pitchclassentropy,scaleconsistency,grooveconsistency,bestpath,isbestpath,bestarrangement,isbestarrangement,bestuniquearrangement,isbestuniquearrangement,subsetall,subsetrated,subsetdeduplicated,subsetrateddeduplicated
./data/P/H/QmPHyi3S9E9CoGGXrUv9pnHotTvcnErnxfuvdo5toxaEv7.json,./metadata/3/5802899.json,True,3.01,True,False,False,False,False,False,False,False,False,False,0,0,4,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,classical,,,Indian's Farewell,Indian's Farewell - William Walker,,William Walker,,,0,3,0-0-0,48480,33.666666665806304,17,102,173,10.176470588235292,1,True,0,False,174,2.273755295195019,1.0,0.9470486111111112,/data2/zachary/musescore/data/U/w/QmUwMB72kc8bY4ja6fhBCSAMzW3Jz6397sNJeFzqGAsquc.mscz,False,/data2/zachary/musescore/data/P/H/QmPHyi3S9E9CoGGXrUv9pnHotTvcnErnxfuvdo5toxaEv7.mscz,True,/data2/zachary/musescore/data/P/H/QmPHyi3S9E9CoGGXrUv9pnHotTvcnErnxfuvdo5toxaEv7.mscz,True,True,False,True,False
./data/U/S/QmUSM1XPVWBeuAyYTcHBSdmxR7tRbLv4tSLMZYHnV1xdtp.json,./metadata/8/4666173.json,True,3.01,True,False,False,False,False,False,False,False,False,False,0,0,2,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,,,,Ap\'o tin Ath\'ina,Ap\'o tin Ath\'ina,[On the Way] from Athens,Misc tunes,,,1,1,0,46080,47.99999999876,26,96,142,5.461538461538462,4,True,0,False,146,2.720838517428815,0.971830985915493,0.9375,/data2/zachary/musescore/data/Q/9/QmQ9UJeZXqSpyzDqKDmtpswuuawQVMYkdhkdJpLnpccKmU.mscz,False,/data2/zachary/musescore/data/Q/9/QmQ9UJeZXqSpyzDqKDmtpswuuawQVMYkdhkdJpLnpccKmU.mscz,False,/data2/zachary/musescore/data/P/V/QmPVvnhJvUt2wTmFWGRNFyQ6PbgYXFeayoBMwbD8ZtRKt5.mscz,False,True,False,False,False
./data/e/y/Qmey5euLMEwHubmA4Qy98PjZbiuB5XLM8TgaTBAUq2uBcE.json,./metadata/4/5743440.json,True,3.01,True,False,False,False,False,False,False,False,False,False,0,0,5,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,classical,,,Fortis cum quevis,Fortis cum quevis - Johannes Brassart,,Johannes Brassart,,,0,4,0-0-0-0,538560,1121.9999999429651,187,561,1278,6.834224598930481,2,True,0,False,1280,2.878615423466632,0.9678540399652475,0.9774576822916666,/data2/zachary/musescore/data/e/y/Qmey5euLMEwHubmA4Qy98PjZbiuB5XLM8TgaTBAUq2uBcE.mscz,True,/data2/zachary/musescore/data/e/y/Qmey5euLMEwHubmA4Qy98PjZbiuB5XLM8TgaTBAUq2uBcE.mscz,True,/data2/zachary/musescore/data/e/y/Qmey5euLMEwHubmA4Qy98PjZbiuB5XLM8TgaTBAUq2uBcE.mscz,True,True,False,True,False
./data/W/V/QmWVJJNJ7Zt4TLYqH4zErkEaHPvDt54aanKCqqBKumpkbe.json,./metadata/2/5909114.json,True,3.01,True,False,False,False,False,False,False,False,False,False,1,0,37,0,0.0,cc-zero,https://creativecommons.org/publicdomain/zero/1.0/,classical,oscarsoratoriekr,,Abendlied Op. 69 No. 3,Rheinberger Abendlied,Drei geistliche Gesänge Opus 69 â 3,Josef Rheinberger,Josef Rheinberger 18391901,,0,6,52-52-52-52-52-52,94080,164.97303854230012,49,196,525,10.714285714285714,186,True,489,True,1200,2.9412258817610786,0.95906432748538,0.983843537414966,/data2/zachary/musescore/data/P/d/QmPd6K4NYXqcTSUoi6nkVvvWd9rbrjLcJmoHjyXGsv4Lvk.mscz,False,/data2/zachary/musescore/data/Z/d/QmZd4FkwyX26TWYQ39xYSAm4oNYSoR9BmeLvi7HBzcY4v9.mscz,False,/data2/zachary/musescore/data/Z/d/QmZd4FkwyX26TWYQ39xYSAm4oNYSoR9BmeLvi7HBzcY4v9.mscz,False,True,False,False,False
./data/W/n/QmWn7L21MisU5yZQ4BkJMy6974FGekDVpwWzXDMztmwHCH.json,./metadata/0/4689651.json,True,3.01,True,False,False,False,False,False,False,False,False,False,0,0,0,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,,,,Miss Macdonal's Rant. Ru1.193,Miss Macdonal's Rant. Ru1.193,,Misc tunes,,,1,1,0,30720,63.999999996746666,16,32,124,7.75,4,True,0,False,128,2.3258030000920544,1.0,0.97265625,/data2/zachary/musescore/data/e/F/QmeFRA9gta582gTc8QLG69USh5qA1izeqpRRqqw2D4nTBF.mscz,False,/data2/zachary/musescore/data/e/F/QmeFRA9gta582gTc8QLG69USh5qA1izeqpRRqqw2D4nTBF.mscz,False,/data2/zachary/musescore/data/e/F/QmeFRA9gta582gTc8QLG69USh5qA1izeqpRRqqw2D4nTBF.mscz,False,True,False,False,False
./data/U/v/QmUviSDmeL9WTCXABrcSCQ5TTLMfsaZ1LsV2qGdtN3crh6.json,./metadata/0/4935126.json,True,3.01,True,False,False,False,False,False,False,False,False,False,0,0,1,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,,,,Balenty Oharem(?). JBut.013,Balenty Oharem(?). JBut.013,Baltighoran Jigaka. JBut.013Balliorumaka. JBut.013,Misc tunes,'A Retreat',,1,1,0,35040,14.599999999807768,17,146,139,8.176470588235293,1,True,0,False,140,2.559123189803798,1.0,0.980324074074074,/data2/zachary/musescore/data/R/Z/QmRZmzwv4cebNaVSjGXNsgwzBcBCqHvy2zYQLty6M7bFQZ.mscz,False,/data2/zachary/musescore/data/R/Z/QmRZmzwv4cebNaVSjGXNsgwzBcBCqHvy2zYQLty6M7bFQZ.mscz,False,/data2/zachary/musescore/data/U/v/QmUviSDmeL9WTCXABrcSCQ5TTLMfsaZ1LsV2qGdtN3crh6.mscz,True,True,False,True,False
./data/S/U/QmSUZH3dpk2Cex1ueXk4r1YvE2xWbHrdVJdFDGNnizH9rv.json,./metadata/9/5767241.json,True,3.01,True,False,False,False,False,False,False,False,False,False,0,0,12,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,classical,,,Now is the day of salvation The future no promise contains,Now is the day of salvation The future no promise contains - C. E. Hunter,,C. E. Hunter,,,1,1,0,30480,36.74992649920837,18,65,271,15.055555555555555,9,True,1,True,281,2.75420438529749,0.977859778597786,0.9277777777777778,/data2/zachary/musescore/data/S/U/QmSUZH3dpk2Cex1ueXk4r1YvE2xWbHrdVJdFDGNnizH9rv.mscz,True,/data2/zachary/musescore/data/S/U/QmSUZH3dpk2Cex1ueXk4r1YvE2xWbHrdVJdFDGNnizH9rv.mscz,True,/data2/zachary/musescore/data/S/U/QmSUZH3dpk2Cex1ueXk4r1YvE2xWbHrdVJdFDGNnizH9rv.mscz,True,True,False,True,False
./data/d/5/Qmd5v97vEk2QAaNZ8pbSdtFbwAgrNygr8Hr4YGjWQCqbsR.json,./metadata/9/5065225.json,True,3.01,True,False,False,False,False,False,False,False,False,False,0,0,2,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,,,,Lachlann with the jet black hair,Lachlann with the jet black hair,Lachlann Dubh,Misc tunes,,,1,1,0,45360,23.624999999685,36,193,188,5.222222222222222,4,True,0,False,192,2.518050759244151,0.9787234042553192,0.7871376811594203,/data2/zachary/musescore/data/Y/D/QmYDRawzfxyPytD4oBwJC1jtMZFiQ36tXHPh632KBzS6D6.mscz,False,/data2/zachary/musescore/data/Y/D/QmYDRawzfxyPytD4oBwJC1jtMZFiQ36tXHPh632KBzS6D6.mscz,False,/data2/zachary/musescore/data/Q/o/QmQofNUXDuYHTtgRMLyx4TvLMSnTdimQdDrJSDUtpEGpP6.mscz,False,True,False,False,False
./data/Y/W/QmYWVMyCK3HD23wHZREd4YybvkkKKDoWxZLZe5yotarjzd.json,./metadata/0/5099125.json,True,3.01,True,False,False,False,False,False,False,False,False,False,0,0,4,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,,,,Libby Prison Q.S.,Libby Prison Q.S.,,Misc tunes,By Theo. B. Jobe learned from a comrade while in Libby Prison in 1865,,1,1,0,46080,20.571457958953825,36,193,150,4.166666666666667,5,True,0,False,155,2.74837321180838,1.0,0.9331597222222222,/data2/zachary/musescore/data/Y/W/QmYWVMyCK3HD23wHZREd4YybvkkKKDoWxZLZe5yotarjzd.mscz,True,/data2/zachary/musescore/data/Y/W/QmYWVMyCK3HD23wHZREd4YybvkkKKDoWxZLZe5yotarjzd.mscz,True,/data2/zachary/musescore/data/Y/W/QmYWVMyCK3HD23wHZREd4YybvkkKKDoWxZLZe5yotarjzd.mscz,True,True,False,True,False
./data/Q/A/QmQAytGpXoMwSnKSYQPxJ7rBvdMYuKjceYFHLzxrWtvQqH.json,./metadata/1/5748808.json,True,3.01,True,False,False,False,False,False,False,False,False,False,0,1,88,0,0.0,publicdomain,https://creativecommons.org/publicdomain/mark/1.0/,classical,,,Maiglöckchen und die Blümelein Op. 63 No. 6,Maiglöckchen und die Blümelein Op. 63 No. 6 - Felix Mendelssohn,nach dem Duett Op. 63 No. 6,Felix Mendelssohn,Felix Mendelssohn,,0,2,52-52,75840,105.58333895559016,81,159,972,12.0,19,True,285,True,1276,2.9729843461449006,0.9301075268817204,0.9444444444444444,/data2/zachary/musescore/data/W/h/QmWhYLo8JPz5PYpH3fsTGqwMyurmx3PyASN8p7UqaViVqo.mscz,False,/data2/zachary/musescore/data/Q/A/QmQAytGpXoMwSnKSYQPxJ7rBvdMYuKjceYFHLzxrWtvQqH.mscz,True,/data2/zachary/musescore/data/Q/A/QmQAytGpXoMwSnKSYQPxJ7rBvdMYuKjceYFHLzxrWtvQqH.mscz,True,True,False,True,False
